year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1930,Uruguay,Montevideo,Group 1,Argentina,Chile,3,1,H,Italy won in AET,Argentina,Chile,1930-07-22,Jul,Tuesday,1930s,July
1930,Uruguay,Montevideo,Semifinals,Argentina,United States,5,1,H,Italy won in AET,Argentina,United States,1930-07-26,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Semifinals,Uruguay,Yugoslavia,5,1,H,Italy won in AET,Uruguay,Yugoslavia,1930-07-27,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Final,Uruguay,Argentina,4,2,H,Italy won in AET,Uruguay,Argentina,1930-07-30,Jul,Wednesday,1930s,July
1934,Italy,Bologna,Round of 16,Argentina,Sweden,2,3,A,Italy won in AET,Sweden,Argentina,1934-05-27,May,Sunday,1930s,May
1934,Italy,Turin,Round of 16,Austria,France,3,2,H,Austria won in AET,Austria,France,1934-05-27,May,Sunday,1930s,May
1934,Italy,Florence,Round of 16,Belgium,Germany,2,5,A,Italy won in AET,Germany,Belgium,1934-05-27,May,Sunday,1930s,May
1934,Italy,Genoa,Round of 16,Brazil,Spain,1,3,A,Italy won in AET,Spain,Brazil,1934-05-27,May,Sunday,1930s,May
1934,Italy,Trieste,Round of 16,Czechoslovakia,Romania,2,1,H,Italy won in AET,Czechoslovakia,Romania,1934-05-27,May,Sunday,1930s,May
1934,Italy,Naples,Round of 16,Egypt,Hungary,2,4,A,Italy won in AET,Hungary,Egypt,1934-05-27,May,Sunday,1930s,May
1934,Italy,Rome,Round of 16,Italy,United States,5,1,H,Italy won in AET,Italy,United States,1934-05-27,May,Sunday,1930s,May
1934,Italy,Milan,Round of 16,Netherlands,Switzerland,2,3,A,Italy won in AET,Switzerland,Netherlands,1934-05-27,May,Sunday,1930s,May
1934,Italy,Bologna,Quarterfinals,Austria,Hungary,2,1,H,Italy won in AET,Austria,Hungary,1934-05-31,May,Thursday,1930s,May
1934,Italy,Turin,Quarterfinals,Czechoslovakia,Switzerland,3,2,H,Italy won in AET,Czechoslovakia,Switzerland,1934-05-31,May,Thursday,1930s,May
1934,Italy,Milan,Quarterfinals,Germany,Sweden,2,1,H,Italy won in AET,Germany,Sweden,1934-05-31,May,Thursday,1930s,May
1934,Italy,Florence,Quarterfinals,Italy,Spain,1,1,D,Italy won in AET,Brazil,Mexico,1934-05-31,May,Thursday,1930s,May
1934,Italy,Florence,Quarterfinals,Italy,Spain,1,0,H,Italy won in AET,Italy,Spain,1934-06-01,Jun,Friday,1930s,June
1934,Italy,Rome,Semifinals,Czechoslovakia,Germany,3,1,H,Italy won in AET,Czechoslovakia,Germany,1934-06-03,Jun,Sunday,1930s,June
1934,Italy,Milan,Semifinals,Italy,Austria,1,0,H,Italy won in AET,Italy,Austria,1934-06-03,Jun,Sunday,1930s,June
1934,Italy,Naples,Third place,Austria,Germany,2,3,A,Italy won in AET,West Germany,Austria,1934-06-07,Jun,Thursday,1930s,June
1934,Italy,Rome,Final,Italy,Czechoslovakia,2,1,H,Italy won in AET,Italy,Czechoslovakia,1934-06-10,Jun,Sunday,1930s,June
1938,France,Paris,Round of 16,Germany,Switzerland,1,1,D,Italy won in AET,Brazil,Mexico,1938-06-04,Jun,Saturday,1930s,June
1938,France,Strasbourg,Round of 16,Brazil,Poland,5,5,H,Brazil won in AET,Brazil,Poland,1938-06-05,Jun,Sunday,1930s,June
1938,France,Toulouse,Round of 16,Cuba,Romania,3,3,D,Italy won in AET,Brazil,Mexico,1938-06-05,Jun,Sunday,1930s,June
1938,France,Le Havre,Round of 16,Czechoslovakia,Netherlands,3,0,H,Czechoslovakia won in AET,Czechoslovakia,Netherlands,1938-06-05,Jun,Sunday,1930s,June
1938,France,Colombes,Round of 16,France,Belgium,3,1,H,Italy won in AET,France,Belgium,1938-06-05,Jun,Sunday,1930s,June
1938,France,Reims,Round of 16,Hungary,Dutch West Indies,5,0,H,Italy won in AET,Hungary,Dutch West Indies,1938-06-05,Jun,Sunday,1930s,June
1938,France,Marseille,Round of 16,Italy,Norway,2,1,H,Italy won in AET,Italy,Norway,1938-06-05,Jun,Sunday,1930s,June
1938,France,Toulouse,Round of 16,Cuba,Romania,2,1,H,Italy won in AET,Cuba,Romania,1938-06-09,Jun,Thursday,1930s,June
1938,France,Paris,Round of 16,Germany,Switzerland,2,4,A,Italy won in AET,Switzerland,Germany,1938-06-09,Jun,Thursday,1930s,June
1938,France,Bordeaux,Quarterfinals,Brazil,Czechoslovakia,1,1,D,Italy won in AET,Brazil,Mexico,1938-06-12,Jun,Sunday,1930s,June
1938,France,Antibes,Quarterfinals,Cuba,Sweden,0,5,A,Italy won in AET,Sweden,Cuba,1938-06-12,Jun,Sunday,1930s,June
1938,France,Colombes,Quarterfinals,France,Italy,1,3,A,Italy won in AET,Italy,France,1938-06-12,Jun,Sunday,1930s,June
1938,France,Lille,Quarterfinals,Hungary,Switzerland,2,0,H,Italy won in AET,Hungary,Switzerland,1938-06-12,Jun,Sunday,1930s,June
1938,France,Bordeaux,Quarterfinals,Brazil,Czechoslovakia,2,1,H,Italy won in AET,Brazil,Czechoslovakia,1938-06-14,Jun,Tuesday,1930s,June
1938,France,Marseille,Semifinals,Brazil,Italy,1,2,A,Italy won in AET,Italy,Brazil,1938-06-16,Jun,Thursday,1930s,June
1938,France,Paris,Semifinals,Hungary,Sweden,5,1,H,Italy won in AET,Hungary,Sweden,1938-06-16,Jun,Thursday,1930s,June
1938,France,Bordeaux,Third place,Brazil,Sweden,4,2,H,Italy won in AET,Brazil,Sweden,1938-06-19,Jun,Sunday,1930s,June
1938,France,Colombes,Final,Hungary,Italy,2,4,A,Italy won in AET,Italy,Hungary,1938-06-19,Jun,Sunday,1930s,June
1950,Brazil,Rio de Janeiro,Group 1,Brazil,Mexico,4,0,H,Italy won in AET,Brazil,Mexico,1950-06-24,Jun,Saturday,1950s,June
1950,Brazil,Rio de Janeiro,Group 2,Chile,England,0,2,A,Italy won in AET,England,Chile,1950-06-25,Jun,Sunday,1950s,June
1950,Brazil,São Paulo,Group 3,Italy,Sweden,2,3,A,Italy won in AET,Sweden,Italy,1950-06-25,Jun,Sunday,1950s,June
1950,Brazil,Curitiba,Group 2,Spain,United States,3,1,H,Italy won in AET,Spain,United States,1950-06-25,Jun,Sunday,1950s,June
1950,Brazil,Belo Horizonte,Group 1,Switzerland,Yugoslavia,0,3,A,Italy won in AET,Yugoslavia,Switzerland,1950-06-25,Jun,Sunday,1950s,June
1950,Brazil,São Paulo,Group 1,Brazil,Switzerland,2,2,D,Italy won in AET,Brazil,Mexico,1950-06-28,Jun,Wednesday,1950s,June
1950,Brazil,Porto Alegre,Group 1,Mexico,Yugoslavia,1,4,A,Italy won in AET,Yugoslavia,Mexico,1950-06-28,Jun,Wednesday,1950s,June
1950,Brazil,Rio de Janeiro,Group 2,Chile,Spain,0,2,A,Italy won in AET,Spain,Chile,1950-06-29,Jun,Thursday,1950s,June
1950,Brazil,Belo Horizonte,Group 2,England,United States,0,1,A,Italy won in AET,United States,England,1950-06-29,Jun,Thursday,1950s,June
1950,Brazil,Curitiba,Group 3,Paraguay,Sweden,2,2,D,Italy won in AET,Brazil,Mexico,1950-06-29,Jun,Thursday,1950s,June
1950,Brazil,Rio de Janeiro,Group 1,Brazil,Yugoslavia,2,0,H,Italy won in AET,Brazil,Yugoslavia,1950-07-01,Jul,Saturday,1950s,July
1950,Brazil,Belo Horizonte,Group 4,Bolivia,Uruguay,0,5,A,Italy won in AET,Uruguay,Bolivia,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,Recife,Group 2,Chile,United States,5,2,H,Italy won in AET,Chile,United States,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,Rio de Janeiro,Group 2,England,Spain,0,1,A,Italy won in AET,Spain,England,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,São Paulo,Group 3,Italy,Paraguay,2,0,H,Italy won in AET,Italy,Paraguay,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,Porto Alegre,Group 1,Mexico,Switzerland,1,2,A,Italy won in AET,Switzerland,Mexico,1950-07-02,Jul,Sunday,1950s,July
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Sweden,5,1,H,Italy won in AET,Brazil,Sweden,1950-07-09,Jul,Sunday,1950s,July
1950,Brazil,São Paulo,Final Round,Spain,Uruguay,2,2,D,Italy won in AET,Brazil,Mexico,1950-07-09,Jul,Sunday,1950s,July
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Spain,5,1,H,Italy won in AET,Brazil,Spain,1950-07-13,Jul,Thursday,1950s,July
1950,Brazil,São Paulo,Final Round,Sweden,Uruguay,2,3,A,Italy won in AET,Uruguay,Sweden,1950-07-13,Jul,Thursday,1950s,July
1950,Brazil,Rio de Janeiro,Final Round,Brazil,Uruguay,1,2,A,Italy won in AET,Uruguay,Brazil,1950-07-16,Jul,Sunday,1950s,July
1950,Brazil,São Paulo,Final Round,Spain,Sweden,1,3,A,Italy won in AET,Sweden,Spain,1950-07-16,Jul,Sunday,1950s,July
1954,Switzerland,Zürich,Group 3,Austria,Scotland,1,0,H,Italy won in AET,Austria,Scotland,1954-06-16,Jun,Wednesday,1950s,June
1954,Switzerland,Geneva,Group 1,Brazil,Mexico,5,0,H,Italy won in AET,Brazil,Mexico,1954-06-16,Jun,Wednesday,1950s,June
1954,Switzerland,Berne,Group 3,Czechoslovakia,Uruguay,0,2,A,Italy won in AET,Uruguay,Czechoslovakia,1954-06-16,Jun,Wednesday,1950s,June
1954,Switzerland,Lausanne,Group 1,France,Yugoslavia,0,1,A,Italy won in AET,Yugoslavia,France,1954-06-16,Jun,Wednesday,1950s,June
1954,Switzerland,Basel,Group 4,Belgium,England,4,4,D,Italy won in AET,Brazil,Mexico,1954-06-17,Jun,Thursday,1950s,June
1954,Switzerland,Berne,Group 2,West Germany,Turkey,4,1,H,Italy won in AET,West Germany,Turkey,1954-06-17,Jun,Thursday,1950s,June
1954,Switzerland,Zürich,Group 2,Hungary,South Korea,5,0,H,Italy won in AET,Hungary,South Korea,1954-06-17,Jun,Thursday,1950s,June
1954,Switzerland,Lausanne,Group 4,Switzerland,Italy,2,1,H,Italy won in AET,Switzerland,Italy,1954-06-17,Jun,Thursday,1950s,June
1954,Switzerland,Zürich,Group 3,Austria,Czechoslovakia,5,0,H,Italy won in AET,Austria,Czechoslovakia,1954-06-19,Jun,Saturday,1950s,June
1954,Switzerland,Lausanne,Group 1,Brazil,Yugoslavia,1,1,D,Italy won in AET,Brazil,Mexico,1954-06-19,Jun,Saturday,1950s,June
1954,Switzerland,Geneva,Group 1,France,Mexico,3,2,H,Italy won in AET,France,Mexico,1954-06-19,Jun,Saturday,1950s,June
1954,Switzerland,Basel,Group 3,Scotland,Uruguay,0,5,A,Italy won in AET,Uruguay,Scotland,1954-06-19,Jun,Saturday,1950s,June
1954,Switzerland,Lugano,Group 4,Belgium,Italy,1,4,A,Italy won in AET,Italy,Belgium,1954-06-20,Jun,Sunday,1950s,June
1954,Switzerland,Basel,Group 2,West Germany,Hungary,3,5,A,Italy won in AET,Hungary,West Germany,1954-06-20,Jun,Sunday,1950s,June
1954,Switzerland,Geneva,Group 2,South Korea,Turkey,0,5,A,Italy won in AET,Turkey,South Korea,1954-06-20,Jun,Sunday,1950s,June
1954,Switzerland,Berne,Group 4,Switzerland,England,0,2,A,Italy won in AET,England,Switzerland,1954-06-20,Jun,Sunday,1950s,June
1954,Switzerland,Zürich,Group 2,West Germany,Turkey,5,2,H,Italy won in AET,West Germany,Turkey,1954-06-23,Jun,Wednesday,1950s,June
1954,Switzerland,Basel,Group 4,Switzerland,Italy,4,1,H,Italy won in AET,Switzerland,Italy,1954-06-23,Jun,Wednesday,1950s,June
1954,Switzerland,Basel,Quarterfinals,England,Uruguay,2,4,A,Italy won in AET,Uruguay,England,1954-06-26,Jun,Saturday,1950s,June
1954,Switzerland,Lausanne,Quarterfinals,Switzerland,Austria,5,5,A,Italy won in AET,Austria,Switzerland,1954-06-26,Jun,Saturday,1950s,June
1954,Switzerland,Berne,Quarterfinals,Brazil,Hungary,2,4,A,Italy won in AET,Hungary,Brazil,1954-06-27,Jun,Sunday,1950s,June
1954,Switzerland,Geneva,Quarterfinals,West Germany,Yugoslavia,2,0,H,Italy won in AET,West Germany,Yugoslavia,1954-06-27,Jun,Sunday,1950s,June
1954,Switzerland,Basel,Semifinals,Austria,West Germany,1,5,A,Italy won in AET,West Germany,Austria,1954-06-30,Jun,Wednesday,1950s,June
1954,Switzerland,Lausanne,Semifinals,Hungary,Uruguay,4,2,H,Hungary won in AET,Hungary,Uruguay,1954-06-30,Jun,Wednesday,1950s,June
1954,Switzerland,Zürich,Third place,Austria,Uruguay,3,1,H,Italy won in AET,Austria,Uruguay,1954-07-03,Jul,Saturday,1950s,July
1954,Switzerland,Berne,Final,West Germany,Hungary,3,2,H,Italy won in AET,West Germany,Hungary,1954-07-04,Jul,Sunday,1950s,July
1958,Sweden,Malmö,Group 1,Argentina,West Germany,1,3,A,Italy won in AET,West Germany,Argentina,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Uddevalla,Group 4,Austria,Brazil,0,3,A,Italy won in AET,Brazil,Austria,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Halmstad,Group 1,Czechoslovakia,Northern Ireland,0,1,A,Italy won in AET,Northern Ireland,Czechoslovakia,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Gothenburg,Group 4,England,Soviet Union,2,2,D,Italy won in AET,Brazil,Mexico,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Norrköping,Group 2,France,Paraguay,5,3,H,Italy won in AET,France,Paraguay,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Sandviken,Group 3,Hungary,Wales,1,1,D,Italy won in AET,Brazil,Mexico,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Västerås,Group 2,Scotland,Yugoslavia,1,1,D,Italy won in AET,Brazil,Mexico,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Solna,Group 3,Sweden,Mexico,3,0,H,Italy won in AET,Sweden,Mexico,1958-06-08,Jun,Sunday,1950s,June
1958,Sweden,Halmstad,Group 1,Argentina,Northern Ireland,3,1,H,Italy won in AET,Argentina,Northern Ireland,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Borås,Group 4,Austria,Soviet Union,0,2,A,Italy won in AET,Soviet Union,Austria,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Gothenburg,Group 4,Brazil,England,0,0,D,Italy won in AET,Brazil,Mexico,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Helsingborg,Group 1,Czechoslovakia,West Germany,2,2,D,Italy won in AET,Brazil,Mexico,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Västerås,Group 2,France,Yugoslavia,2,3,A,Italy won in AET,Yugoslavia,France,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Solna,Group 3,Mexico,Wales,1,1,D,Italy won in AET,Brazil,Mexico,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Norrköping,Group 2,Paraguay,Scotland,3,2,H,Italy won in AET,Paraguay,Scotland,1958-06-11,Jun,Wednesday,1950s,June
1958,Sweden,Solna,Group 3,Sweden,Hungary,2,1,H,Italy won in AET,Sweden,Hungary,1958-06-12,Jun,Thursday,1950s,June
1958,Sweden,Helsingborg,Group 1,Argentina,Czechoslovakia,1,5,A,Italy won in AET,Czechoslovakia,Argentina,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Borås,Group 4,Austria,England,2,2,D,Italy won in AET,Brazil,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Gothenburg,Group 4,Brazil,Soviet Union,2,0,H,Italy won in AET,Brazil,Soviet Union,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Örebro,Group 2,France,Scotland,2,1,H,Italy won in AET,France,Scotland,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Malmö,Group 1,West Germany,Northern Ireland,2,2,D,Italy won in AET,Brazil,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Sandviken,Group 3,Hungary,Mexico,4,0,H,Italy won in AET,Hungary,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Eskilstuna,Group 2,Paraguay,Yugoslavia,3,3,D,Italy won in AET,Brazil,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Solna,Group 3,Sweden,Wales,0,0,D,Italy won in AET,Brazil,Mexico,1958-06-15,Jun,Sunday,1950s,June
1958,Sweden,Malmö,Group 1,Czechoslovakia,Northern Ireland,1,2,A,Northern Ireland won in AET,Northern Ireland,Czechoslovakia,1958-06-17,Jun,Tuesday,1950s,June
1958,Sweden,Gothenburg,Group 4,England,Soviet Union,0,1,A,Italy won in AET,Soviet Union,England,1958-06-17,Jun,Tuesday,1950s,June
1958,Sweden,Solna,Group 3,Hungary,Wales,1,2,A,Italy won in AET,Wales,Hungary,1958-06-17,Jun,Tuesday,1950s,June
1958,Sweden,Gothenburg,Quarterfinals,Brazil,Wales,1,0,H,Italy won in AET,Brazil,Wales,1958-06-19,Jun,Thursday,1950s,June
1958,Sweden,Norrköping,Quarterfinals,France,Northern Ireland,4,0,H,Italy won in AET,France,Northern Ireland,1958-06-19,Jun,Thursday,1950s,June
1958,Sweden,Malmö,Quarterfinals,West Germany,Yugoslavia,1,0,H,Italy won in AET,West Germany,Yugoslavia,1958-06-19,Jun,Thursday,1950s,June
1958,Sweden,Solna,Quarterfinals,Sweden,Soviet Union,2,0,H,Italy won in AET,Sweden,Soviet Union,1958-06-19,Jun,Thursday,1950s,June
1958,Sweden,Solna,Semifinals,Brazil,France,5,2,H,Italy won in AET,Brazil,France,1958-06-24,Jun,Tuesday,1950s,June
1958,Sweden,Gothenburg,Semifinals,Sweden,West Germany,3,1,H,Italy won in AET,Sweden,West Germany,1958-06-24,Jun,Tuesday,1950s,June
1958,Sweden,Gothenburg,Third place,France,West Germany,5,3,H,Italy won in AET,France,West Germany,1958-06-28,Jun,Saturday,1950s,June
1958,Sweden,Solna,Final,Sweden,Brazil,2,5,A,Italy won in AET,Brazil,Sweden,1958-06-29,Jun,Sunday,1950s,June
1962,Chile,Rancagua,Group 4,Argentina,Bulgaria,1,0,H,Italy won in AET,Argentina,Bulgaria,1962-05-30,May,Wednesday,1960s,May
1962,Chile,Viña del Mar,Group 3,Brazil,Mexico,2,0,H,Italy won in AET,Brazil,Mexico,1962-05-30,May,Wednesday,1960s,May
1962,Chile,Santiago,Group 2,Chile,Switzerland,3,1,H,Italy won in AET,Chile,Switzerland,1962-05-30,May,Wednesday,1960s,May
1962,Chile,Arica,Group 1,Colombia,Uruguay,1,2,A,Italy won in AET,Uruguay,Colombia,1962-05-30,May,Wednesday,1960s,May
1962,Chile,Viña del Mar,Group 3,Czechoslovakia,Spain,1,0,H,Italy won in AET,Czechoslovakia,Spain,1962-05-31,May,Thursday,1960s,May
1962,Chile,Rancagua,Group 4,England,Hungary,1,2,A,Italy won in AET,Hungary,England,1962-05-31,May,Thursday,1960s,May
1962,Chile,Santiago,Group 2,West Germany,Italy,0,0,D,Italy won in AET,Brazil,Mexico,1962-05-31,May,Thursday,1960s,May
1962,Chile,Arica,Group 1,Soviet Union,Yugoslavia,2,0,H,Italy won in AET,Soviet Union,Yugoslavia,1962-05-31,May,Thursday,1960s,May
1962,Chile,Rancagua,Group 4,Argentina,England,1,3,A,Italy won in AET,England,Argentina,1962-06-02,Jun,Saturday,1960s,June
1962,Chile,Viña del Mar,Group 3,Brazil,Czechoslovakia,0,0,D,Italy won in AET,Brazil,Mexico,1962-06-02,Jun,Saturday,1960s,June
1962,Chile,Santiago,Group 2,Chile,Italy,2,0,H,Italy won in AET,Chile,Italy,1962-06-02,Jun,Saturday,1960s,June
1962,Chile,Arica,Group 1,Uruguay,Yugoslavia,1,3,A,Italy won in AET,Yugoslavia,Uruguay,1962-06-02,Jun,Saturday,1960s,June
1962,Chile,Rancagua,Group 4,Bulgaria,Hungary,1,5,A,Italy won in AET,Hungary,Bulgaria,1962-06-03,Jun,Sunday,1960s,June
1962,Chile,Arica,Group 1,Colombia,Soviet Union,4,4,D,Italy won in AET,Brazil,Mexico,1962-06-03,Jun,Sunday,1960s,June
1962,Chile,Santiago,Group 2,West Germany,Switzerland,2,1,H,Italy won in AET,West Germany,Switzerland,1962-06-03,Jun,Sunday,1960s,June
1962,Chile,Viña del Mar,Group 3,Mexico,Spain,0,1,A,Italy won in AET,Spain,Mexico,1962-06-03,Jun,Sunday,1960s,June
1962,Chile,Rancagua,Group 4,Argentina,Hungary,0,0,D,Italy won in AET,Brazil,Mexico,1962-06-06,Jun,Wednesday,1960s,June
1962,Chile,Viña del Mar,Group 3,Brazil,Spain,2,1,H,Italy won in AET,Brazil,Spain,1962-06-06,Jun,Wednesday,1960s,June
1962,Chile,Santiago,Group 2,Chile,West Germany,0,2,A,Italy won in AET,West Germany,Chile,1962-06-06,Jun,Wednesday,1960s,June
1962,Chile,Arica,Group 1,Soviet Union,Uruguay,2,1,H,Italy won in AET,Soviet Union,Uruguay,1962-06-06,Jun,Wednesday,1960s,June
1962,Chile,Rancagua,Group 4,Bulgaria,England,0,0,D,Italy won in AET,Brazil,Mexico,1962-06-07,Jun,Thursday,1960s,June
1962,Chile,Arica,Group 1,Colombia,Yugoslavia,0,5,A,Italy won in AET,Yugoslavia,Colombia,1962-06-07,Jun,Thursday,1960s,June
1962,Chile,Viña del Mar,Group 3,Czechoslovakia,Mexico,1,3,A,Italy won in AET,Mexico,Czechoslovakia,1962-06-07,Jun,Thursday,1960s,June
1962,Chile,Santiago,Group 2,Italy,Switzerland,3,0,H,Italy won in AET,Italy,Switzerland,1962-06-07,Jun,Thursday,1960s,June
1962,Chile,Viña del Mar,Quarterfinals,Brazil,England,3,1,H,Italy won in AET,Brazil,England,1962-06-10,Jun,Sunday,1960s,June
1962,Chile,Arica,Quarterfinals,Chile,Soviet Union,2,1,H,Italy won in AET,Chile,Soviet Union,1962-06-10,Jun,Sunday,1960s,June
1962,Chile,Rancagua,Quarterfinals,Czechoslovakia,Hungary,1,0,H,Italy won in AET,Czechoslovakia,Hungary,1962-06-10,Jun,Sunday,1960s,June
1962,Chile,Santiago,Quarterfinals,West Germany,Yugoslavia,0,1,A,Italy won in AET,Yugoslavia,West Germany,1962-06-10,Jun,Sunday,1960s,June
1962,Chile,Santiago,Semifinals,Chile,Brazil,2,4,A,Italy won in AET,Brazil,Chile,1962-06-13,Jun,Wednesday,1960s,June
1962,Chile,Viña del Mar,Semifinals,Czechoslovakia,Yugoslavia,3,1,H,Italy won in AET,Czechoslovakia,Yugoslavia,1962-06-13,Jun,Wednesday,1960s,June
1962,Chile,Santiago,Third place,Chile,Yugoslavia,1,0,H,Italy won in AET,Chile,Yugoslavia,1962-06-16,Jun,Saturday,1960s,June
1962,Chile,Santiago,Final,Brazil,Czechoslovakia,3,1,H,Italy won in AET,Brazil,Czechoslovakia,1962-06-17,Jun,Sunday,1960s,June
1966,England,London,Group 1,England,Uruguay,0,0,D,Italy won in AET,Brazil,Mexico,1966-07-11,Jul,Monday,1960s,July
1966,England,Liverpool,Group 3,Brazil,Bulgaria,2,0,H,Italy won in AET,Brazil,Bulgaria,1966-07-12,Jul,Tuesday,1960s,July
1966,England,Sheffield,Group 2,West Germany,Switzerland,5,0,H,Italy won in AET,West Germany,Switzerland,1966-07-12,Jul,Tuesday,1960s,July
1966,England,Middlesbrough,Group 4,North Korea,Soviet Union,0,3,A,Italy won in AET,Soviet Union,North Korea,1966-07-12,Jul,Tuesday,1960s,July
1966,England,Birmingham,Group 2,Argentina,Spain,2,1,H,Italy won in AET,Argentina,Spain,1966-07-13,Jul,Wednesday,1960s,July
1966,England,Sunderland,Group 4,Chile,Italy,0,2,A,Italy won in AET,Italy,Chile,1966-07-13,Jul,Wednesday,1960s,July
1966,England,London,Group 1,France,Mexico,1,1,D,Italy won in AET,Brazil,Mexico,1966-07-13,Jul,Wednesday,1960s,July
1966,England,Manchester,Group 3,Hungary,Portugal,1,3,A,Italy won in AET,Portugal,Hungary,1966-07-13,Jul,Wednesday,1960s,July
1966,England,Liverpool,Group 3,Brazil,Hungary,1,3,A,Italy won in AET,Hungary,Brazil,1966-07-15,Jul,Friday,1960s,July
1966,England,Middlesbrough,Group 4,Chile,North Korea,1,1,D,Italy won in AET,Brazil,Mexico,1966-07-15,Jul,Friday,1960s,July
1966,England,London,Group 1,France,Uruguay,1,2,A,Italy won in AET,Uruguay,France,1966-07-15,Jul,Friday,1960s,July
1966,England,Sheffield,Group 2,Spain,Switzerland,2,1,H,Italy won in AET,Spain,Switzerland,1966-07-15,Jul,Friday,1960s,July
1966,England,Birmingham,Group 2,Argentina,West Germany,0,0,D,Italy won in AET,Brazil,Mexico,1966-07-16,Jul,Saturday,1960s,July
1966,England,Manchester,Group 3,Bulgaria,Portugal,0,3,A,Italy won in AET,Portugal,Bulgaria,1966-07-16,Jul,Saturday,1960s,July
1966,England,London,Group 1,England,Mexico,2,0,H,Italy won in AET,England,Mexico,1966-07-16,Jul,Saturday,1960s,July
1966,England,Sunderland,Group 4,Italy,Soviet Union,0,1,A,Italy won in AET,Soviet Union,Italy,1966-07-16,Jul,Saturday,1960s,July
1966,England,Sheffield,Group 2,Argentina,Switzerland,2,0,H,Italy won in AET,Argentina,Switzerland,1966-07-19,Jul,Tuesday,1960s,July
